day,hour,T,wind_dir,wind_speed,P,date
1,0,27.5,193,6.7,1007.6,2021-08-31 16:00:00+00:00
1,1,27.4,193,7,1007.4,2021-08-31 17:00:00+00:00
1,2,27.3,198,6.6,1007.1,2021-08-31 18:00:00+00:00
1,3,27.3,200,7.1,1006.7,2021-08-31 19:00:00+00:00
1,4,27.2,204,7.3,1006.3,2021-08-31 20:00:00+00:00
1,5,27.1,209,7.7,1006,2021-08-31 21:00:00+00:00
1,6,27.1,207,7.2,1005.9,2021-08-31 22:00:00+00:00
1,7,27,207,6.8,1005.7,2021-08-31 23:00:00+00:00
1,8,27,216,7.9,1006.2,2021-09-01 00:00:00+00:00
1,9,26.9,214,5.8,1006.7,2021-09-01 01:00:00+00:00
1,10,27.1,214,6.1,1007,2021-09-01 02:00:00+00:00
1,11,27.8,214,6,1006.9,2021-09-01 03:00:00+00:00
1,12,28.4,218,6.3,1007,2021-09-01 04:00:00+00:00
1,13,29.1,220,5.6,1006.9,2021-09-01 05:00:00+00:00
1,14,29.7,217,4.8,1006.5,2021-09-01 06:00:00+00:00
1,15,30.6,224,4.7,1006.3,2021-09-01 07:00:00+00:00
1,16,30.4,212,3.8,1005.8,2021-09-01 08:00:00+00:00
1,17,30.2,207,3.6,1005.5,2021-09-01 09:00:00+00:00
1,18,29.9,212,4.8,1004.9,2021-09-01 10:00:00+00:00
1,19,29.2,202,4.5,1005,2021-09-01 11:00:00+00:00
1,20,28.5,201,3.5,1004.9,2021-09-01 12:00:00+00:00
1,21,28,200,3.1,1005.1,2021-09-01 13:00:00+00:00
1,22,27.7,192,2.1,1005.5,2021-09-01 14:00:00+00:00
1,23,27.5,190,2.5,1005.9,2021-09-01 15:00:00+00:00
2,0,27.5,199,3.2,1006.3,2021-09-01 16:00:00+00:00
2,1,27.4,205,4.1,1006.3,2021-09-01 17:00:00+00:00
2,2,27.3,219,4,1006.1,2021-09-01 18:00:00+00:00
2,3,27.3,208,4,1005.8,2021-09-01 19:00:00+00:00
2,4,27.3,212,4.6,1005.6,2021-09-01 20:00:00+00:00
2,5,27.2,219,5.9,1005.4,2021-09-01 21:00:00+00:00
2,6,27.1,213,5.2,1004.7,2021-09-01 22:00:00+00:00
2,7,27,204,5,1004.3,2021-09-01 23:00:00+00:00
2,8,27,213,6,1004.1,2021-09-02 00:00:00+00:00
2,9,27.1,210,5.3,1004.2,2021-09-02 01:00:00+00:00
2,10,27.3,219,7.3,1004.5,2021-09-02 02:00:00+00:00
2,11,28,216,5.5,1004.5,2021-09-02 03:00:00+00:00
2,12,28.5,214,4.7,1004.8,2021-09-02 04:00:00+00:00
2,13,29.6,229,3.6,1005.2,2021-09-02 05:00:00+00:00
2,14,29.5,211,2.8,1004.6,2021-09-02 06:00:00+00:00
2,15,29.3,202,3.5,1003.6,2021-09-02 07:00:00+00:00
2,16,29.7,193,2.8,1003.2,2021-09-02 08:00:00+00:00
2,17,29.1,192,3.2,1002.1,2021-09-02 09:00:00+00:00
2,18,28.5,198,3.1,1002.9,2021-09-02 10:00:00+00:00
2,19,28,210,3.2,1003,2021-09-02 11:00:00+00:00
2,20,26.8,43,3.8,1002.9,2021-09-02 12:00:00+00:00
2,21,26.8,113,4.3,1002.1,2021-09-02 13:00:00+00:00
